"","edid","year","variable","party","value"
"1","","","","",""
"2","001","2011","DELIS","ONTARIO LIBERTARIAN PARTY","299"
"3","001","2011","DICKSON","LIBERAL                        ","19606"
"4","001","2011","MCCARTHY","PROGRESSIVE CONSERVATIVE       ","14718"
"5","001","2011","TOMAN","GREEN                          ","843"
"6","001","2011","WISEMAN","NEW DEMOCRATIC                 ","5952"
"7","001","2011","REJECTED","REJECTED","117"
"8","001","2011","UNMARKED","UNMARKED","34"
"9","001","2011","DECLINED","DECLINED","21"
"10","001","2011","VOTER_TURNOUT","VOTER_TURNOUT","41590"
"11","001","2011","ELECTORS","ELECTORS","92745"
"12","002","2011","BROWN","LIBERAL                        ","7397"
"13","002","2011","CHAPMAN","PROGRESSIVE CONSERVATIVE       ","6141"
"14","002","2011","HOFFMAN","FAMILY COALITION PARTY OF ONTARIO","217"
"15","002","2011","MANTHA","NEW DEMOCRATIC                 ","11585"
"16","002","2011","TILSON","GREEN                          ","684"
"17","002","2011","REJECTED","REJECTED","100"
"18","002","2011","UNMARKED","UNMARKED","24"
"19","002","2011","DECLINED","DECLINED","10"
"20","002","2011","VOTER_TURNOUT","VOTER_TURNOUT","26158"
"21","002","2011","ELECTORS","ELECTORS","52919"
"22","003","2011","COVERDALE","GREEN                          ","1477"
"23","003","2011","GUNDERMAN SMITH","GUNDERMAN SMITH","87"
"24","003","2011","LANGTON","ONTARIO LIBERTARIAN PARTY","258"
"25","003","2011","MATON","FAMILY COALITION PARTY OF ONTARIO","321"
"26","003","2011","MCMEEKIN","LIBERAL                        ","21648"
"27","003","2011","MELANSON","FREEDOM                        ","99"
"28","003","2011","SKELLY","PROGRESSIVE CONSERVATIVE       ","17132"
"29","003","2011","WESTERHOFF","NEW DEMOCRATIC                 ","8521"
"30","003","2011","REJECTED","REJECTED","104"
"31","003","2011","UNMARKED","UNMARKED","41"
"32","003","2011","DECLINED","DECLINED","35"
"33","003","2011","VOTER_TURNOUT","VOTER_TURNOUT","49723"
"34","003","2011","ELECTORS","ELECTORS","88080"
"35","004","2011","CLARK","NEW DEMOCRATIC                 ","8171"
"36","004","2011","JACKSON","PROGRESSIVE CONSERVATIVE       ","17527"
"37","004","2011","MACKENZIE","FREEDOM                        ","179"
"38","004","2011","MILLER","GREEN                          ","1909"
"39","004","2011","ROSKAM","ONTARIO LIBERTARIAN PARTY","318"
"40","004","2011","WALSH","LIBERAL                        ","15006"
"41","004","2011","REJECTED","REJECTED","115"
"42","004","2011","UNMARKED","UNMARKED","40"
"43","004","2011","DECLINED","DECLINED","26"
"44","004","2011","VOTER_TURNOUT","VOTER_TURNOUT","43291"
"45","004","2011","ELECTORS","ELECTORS","94114"
"46","005","2011","ALI","GREEN                          ","1025"
"47","005","2011","BURSTYN","LIBERAL                        ","13813"
"48","005","2011","MENARY","PROGRESSIVE CONSERVATIVE       ","5333"
"49","005","2011","POLEY-FISHER","FREEDOM                        ","144"
"50","005","2011","PRUE","NEW DEMOCRATIC                 ","17925"
"51","005","2011","ROSS","THE ONLY PARTY","45"
"52","005","2011","REJECTED","REJECTED","81"
"53","005","2011","UNMARKED","UNMARKED","53"
"54","005","2011","DECLINED","DECLINED","28"
"55","005","2011","VOTER_TURNOUT","VOTER_TURNOUT","38447"
"56","005","2011","ELECTORS","ELECTORS","74450"
"57","006","2011","KULAR","LIBERAL                        ","14349"
"58","006","2011","LEE","ONTARIO LIBERTARIAN PARTY","738"
"59","006","2011","MAINGI","PROGRESSIVE CONSERVATIVE       ","9896"
"60","006","2011","MCLACHLAN","INDEPENDENT","491"
"61","006","2011","O'MARRA","FAMILY COALITION PARTY OF ONTARIO","381"
"62","006","2011","SINGH","NEW DEMOCRATIC                 ","16626"
"63","006","2011","THORNHAM","GREEN                          ","1091"
"64","006","2011","REJECTED","REJECTED","199"
"65","006","2011","UNMARKED","UNMARKED","102"
"66","006","2011","DECLINED","DECLINED","20"
"67","006","2011","VOTER_TURNOUT","VOTER_TURNOUT","43893"
"68","006","2011","ELECTORS","ELECTORS","107820"
"69","007","2011","DUNCAN","GREEN                          ","900"
"70","007","2011","HUNDAL","PROGRESSIVE CONSERVATIVE       ","12754"
"71","007","2011","JEFFREY","LIBERAL                        ","15663"
"72","007","2011","ROWLEY","COMMUNIST                      ","152"
"73","007","2011","SADIQ","ONTARIO PROVINCIAL CONFEDERATION OF REGIONS PARTY","81"
"74","007","2011","SINGH","NEW DEMOCRATIC                 ","136"
"75","007","2011","SINGH","NEW DEMOCRATIC                 ","136"
"76","007","2011","WYSOKINSKI","FAMILY COALITION PARTY OF ONTARIO","193"
"77","007","2011","REJECTED","REJECTED","144"
"78","007","2011","UNMARKED","UNMARKED","82"
"79","007","2011","DECLINED","DECLINED","11"
"80","007","2011","VOTER_TURNOUT","VOTER_TURNOUT","35494"
"81","007","2011","ELECTORS","ELECTORS","87543"
"82","008","2011","CHMELYK","GREEN                          ","1432"
"83","008","2011","DHILLON","LIBERAL                        ","19224"
"84","008","2011","HARLSON","FREEDOM                        ","509"
"85","008","2011","KATHURIA","NEW DEMOCRATIC                 ","8331"
"86","008","2011","SHENOUDA","PROGRESSIVE CONSERVATIVE       ","14434"
"87","008","2011","REJECTED","REJECTED","163"
"88","008","2011","UNMARKED","UNMARKED","82"
"89","008","2011","DECLINED","DECLINED","22"
"90","008","2011","VOTER_TURNOUT","VOTER_TURNOUT","44197"
"91","008","2011","ELECTORS","ELECTORS","115431"
"92","009","2011","BURNS","GREEN                          ","957"
"93","009","2011","FERGUSON","ONTARIO LIBERTARIAN PARTY","190"
"94","009","2011","HOCKLEY","FAMILY COALITION PARTY OF ONTARIO","237"
"95","009","2011","JENNER","FREEDOM                        ","136"
"96","009","2011","LEVAC","LIBERAL                        ","16867"
"97","009","2011","SITKO","INDEPENDENT","244"
"98","009","2011","ST. AMANT","ST. AMANT","15761"
"99","009","2011","TURMEL","PATRON                         ","86"
"100","009","2011","VAN TILBORG","VAN TILBORG","11006"
"101","009","2011","REJECTED","REJECTED","135"
"102","009","2011","UNMARKED","UNMARKED","34"
"103","009","2011","DECLINED","DECLINED","26"
"104","009","2011","VOTER_TURNOUT","VOTER_TURNOUT","45679"
"105","009","2011","ELECTORS","ELECTORS","94717"
"106","010","2011","ECCLES","LIBERAL                        ","10889"
"107","010","2011","JOHNSTONE","NEW DEMOCRATIC                 ","6133"
"108","010","2011","JOLLEY","INDEPENDENT","1478"
"109","010","2011","KIDD","FAMILY COALITION PARTY OF ONTARIO","339"
"110","010","2011","MARSHALL","GREEN                          ","2654"
"111","010","2011","MILLER","GREEN                          ","246"
"112","010","2011","WALKER","PROGRESSIVE CONSERVATIVE       ","19567"
"113","010","2011","REJECTED","REJECTED","100"
"114","010","2011","UNMARKED","UNMARKED","49"
"115","010","2011","DECLINED","DECLINED","15"
"116","010","2011","VOTER_TURNOUT","VOTER_TURNOUT","41470"
"117","010","2011","ELECTORS","ELECTORS","75809"
"118","011","2011","BRANNAN","FREEDOM                        ","156"
"119","011","2011","BROWN","LIBERAL                        ","1129"
"120","011","2011","GILES","ONTARIO LIBERTARIAN PARTY","639"
"121","011","2011","MCKENNA","PROGRESSIVE CONSERVATIVE       ","20061"
"122","011","2011","O'BRIEN","FAMILY COALITION PARTY OF ONTARIO","380"
"123","011","2011","RUSSELL","NEW DEMOCRATIC                 ","9370"
