,edid,year,variable,party,value
1,,,,,
2,1,2011,DELIS,ONTARIO LIBERTARIAN PARTY,299
3,1,2011,DICKSON,LIBERAL                        ,19606
4,1,2011,MCCARTHY,PROGRESSIVE CONSERVATIVE       ,14718
5,1,2011,TOMAN,GREEN                          ,843
6,1,2011,WISEMAN,NEW DEMOCRATIC                 ,5952
7,1,2011,REJECTED,REJECTED,117
8,1,2011,UNMARKED,UNMARKED,34
9,1,2011,DECLINED,DECLINED,21
10,1,2011,VOTER_TURNOUT,VOTER_TURNOUT,41590
11,1,2011,ELECTORS,ELECTORS,92745
12,2,2011,BROWN,LIBERAL                        ,7397
13,2,2011,CHAPMAN,PROGRESSIVE CONSERVATIVE       ,6141
14,2,2011,HOFFMAN,FAMILY COALITION PARTY OF ONTARIO,217
15,2,2011,MANTHA,NEW DEMOCRATIC                 ,11585
16,2,2011,TILSON,GREEN                          ,684
17,2,2011,REJECTED,REJECTED,100
18,2,2011,UNMARKED,UNMARKED,24
19,2,2011,DECLINED,DECLINED,10
20,2,2011,VOTER_TURNOUT,VOTER_TURNOUT,26158
21,2,2011,ELECTORS,ELECTORS,52919
22,3,2011,COVERDALE,GREEN                          ,1477
23,3,2011,GUNDERMAN SMITH,GUNDERMAN SMITH,87
24,3,2011,LANGTON,ONTARIO LIBERTARIAN PARTY,258
25,3,2011,MATON,FAMILY COALITION PARTY OF ONTARIO,321
26,3,2011,MCMEEKIN,LIBERAL                        ,21648
27,3,2011,MELANSON,FREEDOM                        ,99
28,3,2011,SKELLY,PROGRESSIVE CONSERVATIVE       ,17132
29,3,2011,WESTERHOFF,NEW DEMOCRATIC                 ,8521
30,3,2011,REJECTED,REJECTED,104
31,3,2011,UNMARKED,UNMARKED,41
32,3,2011,DECLINED,DECLINED,35
33,3,2011,VOTER_TURNOUT,VOTER_TURNOUT,49723
34,3,2011,ELECTORS,ELECTORS,88080
35,4,2011,CLARK,NEW DEMOCRATIC                 ,8171
36,4,2011,JACKSON,PROGRESSIVE CONSERVATIVE       ,17527
37,4,2011,MACKENZIE,FREEDOM                        ,179
38,4,2011,MILLER,GREEN                          ,1909
39,4,2011,ROSKAM,ONTARIO LIBERTARIAN PARTY,318
40,4,2011,WALSH,LIBERAL                        ,15006
41,4,2011,REJECTED,REJECTED,115
42,4,2011,UNMARKED,UNMARKED,40
43,4,2011,DECLINED,DECLINED,26
44,4,2011,VOTER_TURNOUT,VOTER_TURNOUT,43291
45,4,2011,ELECTORS,ELECTORS,94114
46,5,2011,ALI,GREEN                          ,1025
47,5,2011,BURSTYN,LIBERAL                        ,13813
48,5,2011,MENARY,PROGRESSIVE CONSERVATIVE       ,5333
49,5,2011,POLEY-FISHER,FREEDOM                        ,144
50,5,2011,PRUE,NEW DEMOCRATIC                 ,17925
51,5,2011,ROSS,THE ONLY PARTY,45
52,5,2011,REJECTED,REJECTED,81
53,5,2011,UNMARKED,UNMARKED,53
54,5,2011,DECLINED,DECLINED,28
55,5,2011,VOTER_TURNOUT,VOTER_TURNOUT,38447
56,5,2011,ELECTORS,ELECTORS,74450
57,6,2011,KULAR,LIBERAL                        ,14349
58,6,2011,LEE,ONTARIO LIBERTARIAN PARTY,738
59,6,2011,MAINGI,PROGRESSIVE CONSERVATIVE       ,9896
60,6,2011,MCLACHLAN,INDEPENDENT,491
61,6,2011,O'MARRA,FAMILY COALITION PARTY OF ONTARIO,381
62,6,2011,SINGH,NEW DEMOCRATIC                 ,16626
63,6,2011,THORNHAM,GREEN                          ,1091
64,6,2011,REJECTED,REJECTED,199
65,6,2011,UNMARKED,UNMARKED,102
66,6,2011,DECLINED,DECLINED,20
67,6,2011,VOTER_TURNOUT,VOTER_TURNOUT,43893
68,6,2011,ELECTORS,ELECTORS,107820
69,7,2011,DUNCAN,GREEN                          ,900
70,7,2011,HUNDAL,PROGRESSIVE CONSERVATIVE       ,12754
71,7,2011,JEFFREY,LIBERAL                        ,15663
72,7,2011,ROWLEY,COMMUNIST                      ,152
73,7,2011,SADIQ,ONTARIO PROVINCIAL CONFEDERATION OF REGIONS PARTY,81
74,7,2011,SINGH,NEW DEMOCRATIC                 ,136
75,7,2011,SINGH,NEW DEMOCRATIC                 ,136
76,7,2011,WYSOKINSKI,FAMILY COALITION PARTY OF ONTARIO,193
77,7,2011,REJECTED,REJECTED,144
78,7,2011,UNMARKED,UNMARKED,82
79,7,2011,DECLINED,DECLINED,11
80,7,2011,VOTER_TURNOUT,VOTER_TURNOUT,35494
81,7,2011,ELECTORS,ELECTORS,87543
82,8,2011,CHMELYK,GREEN                          ,1432
83,8,2011,DHILLON,LIBERAL                        ,19224
84,8,2011,HARLSON,FREEDOM                        ,509
85,8,2011,KATHURIA,NEW DEMOCRATIC                 ,8331
86,8,2011,SHENOUDA,PROGRESSIVE CONSERVATIVE       ,14434
87,8,2011,REJECTED,REJECTED,163
88,8,2011,UNMARKED,UNMARKED,82
89,8,2011,DECLINED,DECLINED,22
90,8,2011,VOTER_TURNOUT,VOTER_TURNOUT,44197
91,8,2011,ELECTORS,ELECTORS,115431
92,9,2011,BURNS,GREEN                          ,957
93,9,2011,FERGUSON,ONTARIO LIBERTARIAN PARTY,190
94,9,2011,HOCKLEY,FAMILY COALITION PARTY OF ONTARIO,237
95,9,2011,JENNER,FREEDOM                        ,136
96,9,2011,LEVAC,LIBERAL                        ,16867
97,9,2011,SITKO,INDEPENDENT,244
98,9,2011,ST. AMANT,ST. AMANT,15761
99,9,2011,TURMEL,PATRON                         ,86
100,9,2011,VAN TILBORG,VAN TILBORG,11006
101,9,2011,REJECTED,REJECTED,135
102,9,2011,UNMARKED,UNMARKED,34
103,9,2011,DECLINED,DECLINED,26
104,9,2011,VOTER_TURNOUT,VOTER_TURNOUT,45679
105,9,2011,ELECTORS,ELECTORS,94717
106,10,2011,ECCLES,LIBERAL                        ,10889
107,10,2011,JOHNSTONE,NEW DEMOCRATIC                 ,6133
108,10,2011,JOLLEY,INDEPENDENT,1478
109,10,2011,KIDD,FAMILY COALITION PARTY OF ONTARIO,339
110,10,2011,MARSHALL,GREEN                          ,2654
111,10,2011,MILLER,GREEN                          ,246
112,10,2011,WALKER,PROGRESSIVE CONSERVATIVE       ,19567
113,10,2011,REJECTED,REJECTED,100
114,10,2011,UNMARKED,UNMARKED,49
115,10,2011,DECLINED,DECLINED,15
116,10,2011,VOTER_TURNOUT,VOTER_TURNOUT,41470
117,10,2011,ELECTORS,ELECTORS,75809
118,11,2011,BRANNAN,FREEDOM                        ,156
119,11,2011,BROWN,LIBERAL                        ,1129
120,11,2011,GILES,ONTARIO LIBERTARIAN PARTY,639
121,11,2011,MCKENNA,PROGRESSIVE CONSERVATIVE       ,20061
122,11,2011,O'BRIEN,FAMILY COALITION PARTY OF ONTARIO,380
123,11,2011,RUSSELL,NEW DEMOCRATIC                 ,9370
124,11,2011,SAKRAN,LIBERAL                        ,17909
125,11,2011,REJECTED,REJECTED,140
126,11,2011,UNMARKED,UNMARKED,56
127,11,2011,DECLINED,DECLINED,35
128,11,2011,VOTER_TURNOUT,VOTER_TURNOUT,49875
129,11,2011,ELECTORS,ELECTORS,90964
130,12,2011,BANKOLE,NEW DEMOCRATIC                 ,10414
131,12,2011,DETTWEILER,ONTARIO LIBERTARIAN PARTY,629
132,12,2011,LEONE,PROGRESSIVE CONSERVATIVE       ,15947
133,12,2011,MALETTE,GREEN                          ,1056
134,12,2011,MCGARRY,LIBERAL                        ,13993
135,12,2011,ROSS,THE ONLY PARTY,271
136,12,2011,REJECTED,REJECTED,119
137,12,2011,UNMARKED,UNMARKED,41
138,12,2011,DECLINED,DECLINED,27
139,12,2011,VOTER_TURNOUT,VOTER_TURNOUT,42497
140,12,2011,ELECTORS,ELECTORS,92310
141,13,2011,BREDFELDT,FAMILY COALITION PARTY OF ONTARIO,549
142,13,2011,CORNELL,LIBERAL                        ,19144
143,13,2011,DUFF,NEW DEMOCRATIC                 ,6371
144,13,2011,MACLAREN,PROGRESSIVE CONSERVATIVE       ,28246
145,13,2011,SIMSER,GREEN                          ,1857
146,13,2011,REJECTED,REJECTED,134
147,13,2011,UNMARKED,UNMARKED,34
148,13,2011,DECLINED,DECLINED,36
149,13,2011,VOTER_TURNOUT,VOTER_TURNOUT,56371
150,13,2011,ELECTORS,ELECTORS,105368
151,14,2011,NAVARRO,NEW DEMOCRATIC                 ,8415
152,14,2011,NICHOLLS,PROGRESSIVE CONSERVATIVE       ,15121
